areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate
E12000001,North East,region,2021-05-30,7035
E12000001,North East,region,2021-05-29,7035
E12000001,North East,region,2021-05-28,7035
E12000001,North East,region,2021-05-27,7035
E12000001,North East,region,2021-05-26,7035
E12000001,North East,region,2021-05-25,7035
E12000001,North East,region,2021-05-24,7035
E12000001,North East,region,2021-05-23,7035
E12000001,North East,region,2021-05-22,7035
E12000001,North East,region,2021-05-21,7035
E12000001,North East,region,2021-05-20,7035
E12000001,North East,region,2021-05-19,7035
E12000001,North East,region,2021-05-18,7035
E12000001,North East,region,2021-05-17,7034
E12000001,North East,region,2021-05-16,7034
E12000001,North East,region,2021-05-15,7034
E12000001,North East,region,2021-05-14,7033
E12000001,North East,region,2021-05-13,7033
E12000001,North East,region,2021-05-12,7033
E12000001,North East,region,2021-05-11,7029
E12000001,North East,region,2021-05-10,7028
E12000001,North East,region,2021-05-09,7028
E12000001,North East,region,2021-05-08,7027
E12000001,North East,region,2021-05-07,7027
E12000001,North East,region,2021-05-06,7026
E12000001,North East,region,2021-05-05,7026
E12000001,North East,region,2021-05-04,7026
E12000001,North East,region,2021-05-03,7025
E12000001,North East,region,2021-05-02,7024
E12000001,North East,region,2021-05-01,7024
E12000001,North East,region,2021-04-30,7024
E12000001,North East,region,2021-04-29,7024
E12000001,North East,region,2021-04-28,7024
E12000001,North East,region,2021-04-27,7024
E12000001,North East,region,2021-04-26,7022
E12000001,North East,region,2021-04-25,7021
E12000001,North East,region,2021-04-24,7020
E12000001,North East,region,2021-04-23,7018
E12000001,North East,region,2021-04-22,7017
E12000001,North East,region,2021-04-21,7016
E12000001,North East,region,2021-04-20,7015
E12000001,North East,region,2021-04-19,7015
E12000001,North East,region,2021-04-18,7015
E12000001,North East,region,2021-04-17,7015
E12000001,North East,region,2021-04-16,7014
E12000001,North East,region,2021-04-15,7012
E12000001,North East,region,2021-04-14,7011
E12000001,North East,region,2021-04-13,7009
E12000001,North East,region,2021-04-12,7007
E12000001,North East,region,2021-04-11,7007
E12000001,North East,region,2021-04-10,7007
E12000001,North East,region,2021-04-09,7006
E12000001,North East,region,2021-04-08,7006
E12000001,North East,region,2021-04-07,7004
E12000001,North East,region,2021-04-06,7003
E12000001,North East,region,2021-04-05,7001
E12000001,North East,region,2021-04-04,7000
E12000001,North East,region,2021-04-03,6997
E12000001,North East,region,2021-04-02,6994
E12000001,North East,region,2021-04-01,6993
E12000001,North East,region,2021-03-31,6992
E12000001,North East,region,2021-03-30,6986
E12000001,North East,region,2021-03-29,6983
E12000001,North East,region,2021-03-28,6980
E12000001,North East,region,2021-03-27,6979
E12000001,North East,region,2021-03-26,6975
E12000001,North East,region,2021-03-25,6972
E12000001,North East,region,2021-03-24,6970
E12000001,North East,region,2021-03-23,6968
E12000001,North East,region,2021-03-22,6960
E12000001,North East,region,2021-03-21,6957
E12000001,North East,region,2021-03-20,6956
E12000001,North East,region,2021-03-19,6950
E12000001,North East,region,2021-03-18,6945
E12000001,North East,region,2021-03-17,6941
E12000001,North East,region,2021-03-16,6935
E12000001,North East,region,2021-03-15,6933
E12000001,North East,region,2021-03-14,6931
E12000001,North East,region,2021-03-13,6928
E12000001,North East,region,2021-03-12,6920
E12000001,North East,region,2021-03-11,6910
E12000001,North East,region,2021-03-10,6905
E12000001,North East,region,2021-03-09,6897
E12000001,North East,region,2021-03-08,6889
E12000001,North East,region,2021-03-07,6879
E12000001,North East,region,2021-03-06,6874
E12000001,North East,region,2021-03-05,6869
E12000001,North East,region,2021-03-04,6855
E12000001,North East,region,2021-03-03,6847
E12000001,North East,region,2021-03-02,6834
E12000001,North East,region,2021-03-01,6826
E12000001,North East,region,2021-02-28,6812
E12000001,North East,region,2021-02-27,6800
E12000001,North East,region,2021-02-26,6790
E12000001,North East,region,2021-02-25,6778
E12000001,North East,region,2021-02-24,6767
E12000001,North East,region,2021-02-23,6745
E12000001,North East,region,2021-02-22,6734
E12000001,North East,region,2021-02-21,6724
E12000001,North East,region,2021-02-20,6706
E12000001,North East,region,2021-02-19,6686
E12000001,North East,region,2021-02-18,6666
E12000001,North East,region,2021-02-17,6648
E12000001,North East,region,2021-02-16,6632
E12000001,North East,region,2021-02-15,6612
E12000001,North East,region,2021-02-14,6581
E12000001,North East,region,2021-02-13,6556
E12000001,North East,region,2021-02-12,6533
E12000001,North East,region,2021-02-11,6510
E12000001,North East,region,2021-02-10,6491
E12000001,North East,region,2021-02-09,6464
E12000001,North East,region,2021-02-08,6437
E12000001,North East,region,2021-02-07,6404
E12000001,North East,region,2021-02-06,6376
E12000001,North East,region,2021-02-05,6348
E12000001,North East,region,2021-02-04,6309
E12000001,North East,region,2021-02-03,6266
E12000001,North East,region,2021-02-02,6229
E12000001,North East,region,2021-02-01,6195
E12000001,North East,region,2021-01-31,6160
E12000001,North East,region,2021-01-30,6121
E12000001,North East,region,2021-01-29,6089
E12000001,North East,region,2021-01-28,6043
E12000001,North East,region,2021-01-27,6004
E12000001,North East,region,2021-01-26,5965
E12000001,North East,region,2021-01-25,5926
E12000001,North East,region,2021-01-24,5871
E12000001,North East,region,2021-01-23,5829
E12000001,North East,region,2021-01-22,5801
E12000001,North East,region,2021-01-21,5754
E12000001,North East,region,2021-01-20,5719
E12000001,North East,region,2021-01-19,5679
E12000001,North East,region,2021-01-18,5620
E12000001,North East,region,2021-01-17,5581
E12000001,North East,region,2021-01-16,5547
E12000001,North East,region,2021-01-15,5511
E12000001,North East,region,2021-01-14,5466
E12000001,North East,region,2021-01-13,5428
E12000001,North East,region,2021-01-12,5395
E12000001,North East,region,2021-01-11,5359
E12000001,North East,region,2021-01-10,5307
E12000001,North East,region,2021-01-09,5271
E12000001,North East,region,2021-01-08,5240
